epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,169.77,2.07422,1.36819,0.97865,0.44963,0.3411,0.33399,0.1074,2.51147,1.54288,1.04308,0.000713,0.000713,0.000713
67,173.619,2.06574,1.23942,0.98915,0.44472,0.36177,0.33474,0.11229,2.47474,1.54528,1.03888,0.0006932,0.0006932,0.0006932
68,175.828,2.05606,1.28728,0.97765,0.48357,0.33769,0.32901,0.10875,2.48856,1.52783,1.03642,0.0006734,0.0006734,0.0006734
69,177.962,1.9067,1.24599,0.97243,0.49201,0.34471,0.3328,0.10911,2.46374,1.6048,1.04317,0.0006536,0.0006536,0.0006536
70,180.14,1.95619,1.28405,1.00237,0.48334,0.28736,0.31347,0.10218,2.51349,1.69867,1.05648,0.0006338,0.0006338,0.0006338
71,182.171,2.05804,1.28455,0.95692,0.47497,0.33675,0.32994,0.11172,2.44178,1.57384,1.04274,0.000614,0.000614,0.000614
72,184.493,1.89238,1.21787,0.9811,0.51661,0.33902,0.3427,0.11334,2.43155,1.60075,1.04168,0.0005942,0.0005942,0.0005942
73,186.714,1.95662,1.24404,1.00249,0.46912,0.32309,0.32448,0.10747,2.52144,1.59119,1.04941,0.0005744,0.0005744,0.0005744
74,188.89,1.98712,1.25953,0.976,0.45651,0.35495,0.34088,0.11677,2.46616,1.57014,1.03838,0.0005546,0.0005546,0.0005546
75,191.029,1.80788,1.15099,1.01577,0.47644,0.36131,0.34269,0.11372,2.46438,1.56698,1.04676,0.0005348,0.0005348,0.0005348
76,193.277,1.86741,1.22232,1.01786,0.51426,0.34471,0.35697,0.11762,2.45274,1.53313,1.03957,0.000515,0.000515,0.000515
77,195.486,2.05733,1.27313,0.94917,0.51011,0.3413,0.35026,0.11571,2.42962,1.56285,1.03679,0.0004952,0.0004952,0.0004952
78,197.634,1.91191,1.18174,0.96092,0.53448,0.34016,0.36885,0.1221,2.38162,1.52207,1.02875,0.0004754,0.0004754,0.0004754
79,199.811,1.9023,1.161,0.95286,0.45805,0.39477,0.37676,0.12388,2.38073,1.49788,1.0258,0.0004556,0.0004556,0.0004556
80,201.954,1.96626,1.22873,0.96103,0.48342,0.37656,0.37282,0.11564,2.47363,1.51464,1.03559,0.0004358,0.0004358,0.0004358
81,204.307,1.94408,1.1805,0.98324,0.47116,0.33955,0.33902,0.10895,2.52047,1.55492,1.04158,0.000416,0.000416,0.000416
82,207.496,1.9502,1.19618,0.94693,0.45819,0.32309,0.32356,0.10594,2.52797,1.59217,1.04106,0.0003962,0.0003962,0.0003962
83,212.631,1.85171,1.16887,0.95523,0.51052,0.30375,0.32843,0.10902,2.50118,1.58417,1.04102,0.0003764,0.0003764,0.0003764
84,217.637,1.88085,1.18256,0.9546,0.46895,0.35154,0.34455,0.11808,2.43822,1.52562,1.03723,0.0003566,0.0003566,0.0003566
85,220.806,1.9343,1.2032,0.95751,0.46805,0.34234,0.33924,0.11219,2.47222,1.52354,1.03746,0.0003368,0.0003368,0.0003368
86,222.982,1.92999,1.22446,0.9596,0.50179,0.32309,0.33991,0.10917,2.50041,1.52782,1.03947,0.000317,0.000317,0.000317
87,225.175,1.98577,1.22807,0.94058,0.48424,0.36405,0.35837,0.11992,2.4468,1.52732,1.03526,0.0002972,0.0002972,0.0002972
88,227.334,1.82549,1.1364,0.96435,0.47982,0.37998,0.36804,0.12442,2.42578,1.50515,1.03311,0.0002774,0.0002774,0.0002774
89,229.345,1.83291,1.12899,0.94324,0.4874,0.34506,0.34871,0.11621,2.47438,1.52437,1.03787,0.0002576,0.0002576,0.0002576
90,231.355,1.7067,1.07141,0.93862,0.51404,0.3189,0.33998,0.11327,2.49323,1.54085,1.03784,0.0002378,0.0002378,0.0002378
91,234.701,1.92627,1.28526,0.96464,0.47128,0.3322,0.33846,0.11316,2.48902,1.54809,1.04285,0.000218,0.000218,0.000218
92,236.893,1.90199,1.24034,0.95513,0.48274,0.33333,0.33732,0.11459,2.47252,1.57832,1.04547,0.0001982,0.0001982,0.0001982
93,239.107,1.86413,1.18385,0.96172,0.49666,0.32082,0.33277,0.11066,2.47679,1.57065,1.04674,0.0001784,0.0001784,0.0001784
94,241.269,1.86595,1.22565,0.95633,0.49699,0.32651,0.33575,0.10973,2.48332,1.55068,1.04916,0.0001586,0.0001586,0.0001586
95,243.484,1.95591,1.24097,0.94407,0.45364,0.34585,0.33448,0.10819,2.4982,1.51739,1.05335,0.0001388,0.0001388,0.0001388
96,245.83,1.84526,1.2041,0.95,0.47439,0.34585,0.33649,0.11114,2.50829,1.51325,1.0544,0.000119,0.000119,0.000119
97,248.009,1.86192,1.18786,0.94822,0.46689,0.3595,0.34859,0.11459,2.49566,1.50973,1.04721,9.92e-05,9.92e-05,9.92e-05
98,250.06,1.83608,1.20652,0.96659,0.51017,0.35429,0.35826,0.11917,2.46146,1.49887,1.04106,7.94e-05,7.94e-05,7.94e-05
99,252.156,1.75366,1.14101,0.9526,0.51638,0.3595,0.36929,0.1235,2.43474,1.49672,1.03649,5.96e-05,5.96e-05,5.96e-05
100,255.742,1.82414,1.12664,0.95241,0.52589,0.35722,0.36977,0.12304,2.42946,1.49774,1.03607,3.98e-05,3.98e-05,3.98e-05
